Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
10.0,Washington Bridge,40.847668,-73.929669,5000.0,1,2
10.0,Williamsburg Bridge,40.7173688,-73.9841411,4347.83,10,23
10.0,N/A,40.8007671,-73.9348639,3589.74,14,39
10.0,N/A,40.7150019,-73.9772515,3333.33,1,3
10.0,Amsterdam Avenue,40.8461493,-73.9323138,2641.51,28,106
10.0,Amsterdam Avenue & West 179th Street,40.8467983,-73.9318397,2222.22,12,54
10.0,10th Avenue & West 205th Street,40.8631643,-73.9198437,1875.0,3,16
10.0,Academy Street & Nagle Avenue,40.8624268,-73.9225094,1475.41,18,122
10.0,Staff Street,40.8668641,-73.9309781,1379.31,4,29
10.0,N/A,40.784945,-73.9408028,1363.64,3,22
10.0,N/A,40.7116882,-74.0027433,1176.47,4,34
10.0,Saint Nicholas Avenue & West 192nd Street,40.856182,-73.928716,1034.48,12,116
10.0,East 128th Street,40.8056302,-73.9343783,1023.26,22,215
10.0,Audubon Avenue & West 193rd Street,40.85623,-73.926863,857.14,6,70
10.0,Amsterdam Avenue,40.8474237,-73.9313827,843.37,14,166
10.0,Saint Nicholas Avenue & West 191st Street,40.8555496,-73.929178,791.37,11,139
10.0,Macombs Place & West 154th Street,40.8276596,-73.9357729,779.22,6,77
10.0,Amsterdam Avenue & West 177th Street,40.845538,-73.9327605,777.78,7,90
10.0,Nagle Avenue,40.8614439,-73.9250224,757.58,5,66
10.0,Delancey Street,40.7178211,-73.9857349,714.29,43,602
10.0,Amsterdam Avenue & West 171st Street,40.8417005,-73.9355668,707.07,7,99
10.0,Amsterdam Avenue & Washington Bridge,40.8481397,-73.9308625,698.87,68,973
10.0,N/A,40.858935,-73.9229661,689.66,16,232
10.0,Audubon Avenue,40.855598,-73.927319,681.82,3,44
10.0,Audubon Avenue & West 188th Street,40.8531,-73.929147,661.16,8,121
10.0,Canal Street,40.7158824,-73.9950294,636.76,44,691
10.0,Broadway & West 220th Street,40.8723563,-73.9128142,618.28,23,372
10.0,9th Avenue & West 206th Street,40.86302,-73.917555,615.38,12,195
10.0,Jumel Place,40.839484,-73.93604,588.24,2,34
10.0,Bradhurst Avenue,40.822628,-73.943506,560.75,6,107
10.0,Amsterdam Avenue,40.8423037,-73.9351235,538.46,7,130
10.0,Riverside Drive & West 155th Street,40.8340866,-73.9483688,524.19,13,248
10.0,10th Avenue & West 216th Street,40.870225,-73.914694,506.33,4,79
10.0,Washington Terrace & West 186th Street,40.851487,-73.929377,500.0,1,20
10.0,Wadsworth Avenue & West 192nd Street,40.8566083,-73.9297266,487.8,2,41
10.0,1st Avenue & East 126th Street,40.8025238,-73.9308881,487.8,4,82
10.0,10th Avenue & Nagle Avenue,40.8637912,-73.9194094,480.0,6,125
10.0,Edgar Street & Greenwich Street,40.7070863,-74.0139687,467.29,5,107
10.0,Riverside Drive,40.839232,-73.945543,460.83,10,217
10.0,Hillside Avenue,40.859012,-73.927625,454.55,8,176
10.0,Audubon Avenue & Saint Nicholas Avenue,40.8385135,-73.9398455,454.55,4,88
10.0,Macombs Place,40.826763,-73.937575,452.26,9,199
