Bucketed Score,Intersection,Lat,Long,Raw Score,# Accidents,Traffic
10.0,Harlem River Drive,40.8305431,-73.9361119,0.5333,8,15
10.0,Amsterdam Avenue & West 179th Street,40.8467983,-73.9318397,0.3889,21,54
10.0,Williamsburg Bridge,40.7173688,-73.9841411,0.3043,7,23
10.0,N/A,40.784945,-73.9408028,0.2727,6,22
10.0,Amsterdam Avenue,40.8461493,-73.9323138,0.2642,28,106
10.0,N/A,40.8007671,-73.9348639,0.2308,9,39
10.0,West 125th Street,40.8187696,-73.9610912,0.1765,9,51
10.0,N/A,40.7116882,-74.0027433,0.1471,5,34
10.0,Audubon Avenue & West 193rd Street,40.85623,-73.926863,0.1286,9,70
10.0,10th Avenue & West 205th Street,40.8631643,-73.9198437,0.125,2,16
10.0,Amsterdam Avenue & West 177th Street,40.845538,-73.9327605,0.1222,11,90
10.0,Amsterdam Avenue,40.8474237,-73.9313827,0.1205,20,166
10.0,9th Avenue & West 206th Street,40.86302,-73.917555,0.1179,23,195
10.0,Jumel Place,40.839484,-73.93604,0.1176,4,34
10.0,10th Avenue & Nagle Avenue,40.8637912,-73.9194094,0.104,13,125
10.0,East 128th Street,40.8056302,-73.9343783,0.093,20,215
10.0,Amsterdam Avenue,40.8449056,-73.9332225,0.0916,12,131
10.0,Macombs Place & West 154th Street,40.8276596,-73.9357729,0.0909,7,77
10.0,N/A,40.858935,-73.9229661,0.0819,19,232
10.0,Delancey Street,40.7178211,-73.9857349,0.0797,48,602
10.0,Saint Nicholas Avenue & West 192nd Street,40.856182,-73.928716,0.0776,9,116
10.0,Riverside Drive & West 155th Street,40.8340866,-73.9483688,0.0766,19,248
10.0,Macombs Place & West 153rd Street,40.8272128,-73.9366579,0.0714,9,126
10.0,Audubon Avenue,40.855598,-73.927319,0.0682,3,44
10.0,Amsterdam Avenue & Washington Bridge,40.8481397,-73.9308625,0.0678,66,973
10.0,Saint Nicholas Avenue & West 161st Street,40.8350754,-73.9397872,0.0645,2,31
10.0,9th Avenue & West 205th Street,40.862394,-73.918015,0.0628,12,191
10.0,Macombs Place,40.8275701,-73.9358977,0.0625,3,48
10.0,Nagle Avenue,40.8614439,-73.9250224,0.0606,4,66
10.0,Amsterdam Avenue & West 171st Street,40.8417005,-73.9355668,0.0606,6,99
10.0,Academy Street & Nagle Avenue,40.8624268,-73.9225094,0.0574,7,122
10.0,Bradhurst Avenue,40.822628,-73.943506,0.0561,6,107
10.0,Canal Street,40.7158824,-73.9950294,0.0535,37,691
10.0,Amsterdam Avenue & Fort George Avenue,40.8537128,-73.9267875,0.0517,12,232
10.0,Vermilyea Avenue & West 211th Street,40.867584,-73.918414,0.0508,3,59
10.0,10th Avenue & West 216th Street,40.870225,-73.914694,0.0506,4,79
10.0,Laight Street (East) / Canal Street (East) & Varick Street,40.7208183,-74.0075453,0.05,1,20
10.0,Broadway & West 220th Street,40.8723563,-73.9128142,0.0457,17,372
10.0,Audubon Avenue & Saint Nicholas Avenue,40.8385135,-73.9398455,0.0455,4,88
10.0,10th Avenue,40.8634463,-73.9196152,0.0455,1,22
10.0,Adam Clayton Powell Jr. Boulevard & West 150th Street,40.8248549,-73.9368589,0.044,12,273
10.0,Saint Nicholas Avenue & West 191st Street,40.8555496,-73.929178,0.0432,6,139
10.0,Broadway & West 216th Street,40.8704145,-73.9151316,0.0427,5,117
10.0,Bradhurst Avenue & Frederick Douglass Boulevard,40.8291536,-73.9372824,0.0424,34,801
10.0,Dyckman Street,40.8678058,-73.9300052,0.0419,9,215
10.0,Riverside Drive,40.839232,-73.945543,0.0415,9,217
10.0,Amsterdam Avenue & Audubon Avenue,40.8571682,-73.9274354,0.0402,8,199
10.0,Pinehurst Avenue & West 187th Street,40.8554029,-73.9378027,0.0394,5,127
10.0,Audubon Avenue & West 177th Street,40.846141,-73.934232,0.0386,11,285
10.0,Amsterdam Avenue,40.8423037,-73.9351235,0.0385,5,130
10.0,Edgar Street & Greenwich Street,40.7070863,-74.0139687,0.0374,4,107
10.0,1st Avenue & East 126th Street,40.8025238,-73.9308881,0.0366,3,82
10.0,Convent Avenue & West 151st Street,40.8283055,-73.9431445,0.0361,7,194
10.0,Staff Street,40.8668641,-73.9309781,0.0345,1,29
10.0,Saint Nicholas Avenue & West 177th Street,40.846727,-73.935622,0.0344,10,291
10.0,Haven Avenue & West 170th Street,40.843902,-73.942696,0.0337,7,208
10.0,Indian Road & West 214th Street,40.872249,-73.919458,0.0333,3,90
10.0,12th Avenue & West 131st Street,40.8187627,-73.9597831,0.0323,8,248
10.0,Saint Clair Place,40.8179951,-73.9617273,0.0323,4,124
10.0,Broadway,40.858271,-73.931818,0.0322,15,466
10.0,Saint Nicholas Avenue & West 176th Street,40.846105,-73.936078,0.031,8,258
10.0,Riverside Drive & West 152nd Street,40.831695,-73.949256,0.031,8,258
10.0,Broadway & West 173rd Street,40.8446886,-73.9388653,0.0308,10,325
10.0,Frederick Douglass Boulevard & West 154th Street,40.8285,-73.937782,0.0304,9,296
10.0,Adam Clayton Powell Jr. Boulevard & West 153rd Street,40.8267379,-73.9355103,0.03,7,233
10.0,Adam Clayton Powell Jr. Boulevard & West 141st Street,40.8191286,-73.9410058,0.0296,16,541
10.0,Market Slip,40.7100939,-73.9941033,0.0294,6,204
10.0,Saint Nicholas Avenue & West 173rd Street,40.844137,-73.937518,0.0292,9,308
10.0,Academy Street & Nagle Avenue,40.862355,-73.9224584,0.0286,1,35
10.0,Amsterdam Avenue & West 159th Street,40.8341102,-73.941109,0.0281,14,498
10.0,Nagle Avenue & Thayer Street,40.861259,-73.925668,0.0277,8,289
10.0,East 129th Street & Lexington Avenue,40.8069238,-73.9355687,0.0276,25,907
10.0,Amsterdam Avenue,40.8322331,-73.9424802,0.0274,9,328
10.0,Sherman Avenue,40.8626215,-73.9286059,0.0272,4,147
10.0,Broadway & West 157th Street,40.8340611,-73.9448113,0.0271,22,811
10.0,Amsterdam Avenue & West 183rd Street,40.8493104,-73.9300043,0.0268,8,299
10.0,East 129th Street & Park Avenue,40.8075561,-73.9370658,0.026,20,770
10.0,Audubon Avenue & West 190th Street,40.854321,-73.928254,0.0255,5,196
10.0,West 180th Street,40.8503746,-73.940603,0.0248,3,121
10.0,East 130th Street & Park Avenue,40.8081685,-73.9365933,0.0247,12,486
10.0,Bogardus Place & Hillside Avenue,40.858744,-73.930122,0.0242,6,248
10.0,Audubon Avenue & West 185th Street,40.851109,-73.930602,0.0239,7,293
10.0,Bradhurst Avenue & West 155th Street (surface),40.828986,-73.93896,0.023,11,479
10.0,Saint Nicholas Terrace & West 128th Street,40.81294,-73.95177,0.0229,6,262
10.0,Wadsworth Terrace & West 190th Street,40.855755,-73.931655,0.0227,2,88
10.0,Audubon Avenue & West 172nd Street,40.842915,-73.93659,0.0225,8,355
10.0,Amsterdam Avenue & West 186th Street,40.8511764,-73.9286408,0.0222,3,135
10.0,Saint Nicholas Avenue & West 163rd Street,40.8369643,-73.9401714,0.0221,5,226
10.0,Edgecombe Avenue,40.83785,-73.936383,0.0221,4,181
10.0,West 138th Street,40.8217009,-73.9529081,0.022,2,91
10.0,Amsterdam Avenue & West 173rd Street,40.8429382,-73.9346816,0.0217,5,230
10.0,Wadsworth Avenue & West 174th Street,40.8453,-73.938262,0.0215,2,93
10.0,Broadway & West 159th Street,40.8352891,-73.9439155,0.0214,11,515
10.0,Saint Nicholas Avenue & West 171st Street,40.8429055,-73.9384302,0.0214,6,281
10.0,Broadway & West 165th Street,40.8391601,-73.9410885,0.0212,27,1273
10.0,10th Avenue,40.861311,-73.921232,0.0212,6,283
10.0,Cherry Street & Rutgers Street,40.7112327,-73.9897972,0.0211,2,95
10.0,Amsterdam Avenue & Laurel Hill Terrace,40.852484,-73.9276854,0.0208,13,624
10.0,Wadsworth Terrace & West 188th Street,40.855157,-73.932092,0.0208,2,96
10.0,Broadway & West 176th Street,40.846934,-73.938227,0.0208,22,1057
10.0,Wadsworth Avenue & West 177th Street,40.847249,-73.936857,0.0207,5,241
10.0,Amsterdam Avenue & West 169th Street,40.8404789,-73.9364566,0.0206,4,194
10.0,Amsterdam Avenue & West 168th Street,40.839864,-73.9369058,0.0201,8,399
10.0,Amsterdam Avenue & West 151st Street,40.8290147,-73.9448311,0.02,14,699
10.0,Adam Clayton Powell Jr. Boulevard & West 143rd Street,40.8203116,-73.939948,0.0195,8,410
10.0,Edgecombe Avenue,40.8406476,-73.9353921,0.0191,3,157
10.0,Hillside Avenue & Sickles Street,40.859944,-73.926786,0.019,2,105
10.0,Adam Clayton Powell Jr. Boulevard & West 144th Street,40.8209353,-73.9394931,0.0187,15,802
10.0,Audubon Avenue & West 189th Street,40.853724,-73.928692,0.0185,5,270
10.0,Audubon Avenue & West 176th Street,40.84552,-73.934686,0.0182,5,275
10.0,Broadway & West 163rd Street,40.837767,-73.9420965,0.018,20,1111
10.0,Amsterdam Avenue & West 187th Street,40.8518592,-73.9281419,0.0179,2,112
10.0,Broadway & West 155th Street,40.8327461,-73.9457725,0.0178,24,1349
10.0,Bowery & Delancey Street,40.720262,-73.994002,0.0177,105,5931
10.0,Saint Nicholas Avenue & West 149th Street,40.826645,-73.943059,0.0176,6,340
10.0,10th Avenue & West 203rd Street,40.861936,-73.920774,0.0174,5,287
10.0,West 181st Street,40.850448,-73.936661,0.0172,12,696
10.0,Audubon Avenue & West 186th Street,40.851793,-73.930101,0.0172,4,232
10.0,Fort George Avenue & Fort George Hill,40.8568009,-73.928266,0.0171,7,409
10.0,Broadway & West 174th Street,40.8454318,-73.9386774,0.0171,8,468
10.0,Wadsworth Avenue,40.856077,-73.9304068,0.0171,2,117
10.0,Hillside Avenue,40.859012,-73.927625,0.017,3,176
10.0,Broadway & West 171st Street,40.843223,-73.939177,0.017,9,528
10.0,Audubon Avenue & West 169th Street,40.841087,-73.937929,0.017,3,176
10.0,Edgecombe Avenue,40.836469,-73.937023,0.0168,4,238
10.0,Audubon Avenue & West 171st Street,40.842314,-73.937028,0.0166,6,361
10.0,Hamilton Place & West 141st Street,40.8231195,-73.9504964,0.0166,8,482
10.0,Front Street & Jackson Street,40.711534,-73.98062,0.0165,2,121
10.0,Jumel Terrace & Sylvan Terrace,40.834536,-73.938965,0.0164,1,61
10.0,N/A,40.8320111,-73.9351849,0.016,3,187
10.0,Broadway & West 196th Street,40.860641,-73.930771,0.016,9,562
10.0,Edgecombe Avenue & West 137th Street,40.81838,-73.94698,0.016,3,188
10.0,9th Avenue & West 207th Street,40.863691,-73.917063,0.0159,58,3646
10.0,Audubon Avenue & West 191st Street,40.854976,-73.927781,0.0159,1,63
10.0,Broadway & West 219th Street,40.8717992,-73.9134592,0.0157,2,127
10.0,Arden Street,40.863614,-73.928206,0.0154,2,130
10.0,Ellwood Street,40.8621541,-73.9296507,0.0154,3,195
10.0,Broadway & West 153rd Street,40.8314449,-73.946722,0.0154,8,521
10.0,Broadway & West 151st Street,40.8301952,-73.9476383,0.0153,12,782
10.0,Academy Street & Post Avenue,40.863416,-73.923137,0.0153,7,457
10.0,Adam Clayton Powell Jr. Boulevard & West 139th Street,40.8178222,-73.9417656,0.0153,19,1243
10.0,Saint Nicholas Avenue & West 181st Street,40.849321,-73.933731,0.0152,23,1509
10.0,Ellwood Street & Sherman Avenue,40.8622188,-73.9296889,0.0152,3,197
10.0,Audubon Avenue & West 174th Street,40.844201,-73.935653,0.0151,7,464
10.0,Amsterdam Avenue & West 165th Street,40.8378835,-73.9383539,0.015,6,399
10.0,Hamilton Place & West 143rd Street,40.8240824,-73.9488825,0.015,6,400
10.0,Wadsworth Avenue & West 173rd Street,40.8446487,-73.9387288,0.0149,1,67
10.0,Saint Nicholas Avenue & West 155th Street,40.830891,-73.941368,0.0149,18,1208
10.0,Saint Nicholas Avenue & West 190th Street,40.854908,-73.929644,0.0148,5,337
10.0,Amsterdam Avenue & West 152nd Street,40.8296401,-73.9443743,0.0147,10,678
10.0,East 13th Street,40.7262553,-73.9726487,0.0147,1,68
10.0,Amsterdam Avenue & West 170th Street,40.8410633,-73.9360297,0.0144,5,347
10.0,Macombs Place & West 151st Street,40.826334,-73.938459,0.0143,5,349
10.0,Frederick Douglass Boulevard & West 144th Street,40.822164,-73.942411,0.0143,17,1189
10.0,Jumel Place & West 167th Street,40.838668,-73.93665,0.0143,1,70
10.0,Riverside Drive,40.838058,-73.94664,0.0141,8,569
10.0,Frederick Douglass Boulevard & West 151st Street,40.826626,-73.939149,0.014,9,642
10.0,Amsterdam Avenue & West 155th Street,40.8315635,-73.9429693,0.014,15,1075
10.0,Cabrini Boulevard & West 190th Street,40.8573519,-73.936584,0.0139,4,287
10.0,Broadway & West 172nd Street,40.843942,-73.939025,0.0138,13,941
10.0,Bennett Avenue & Broadway,40.8593027,-73.9313326,0.0138,6,436
10.0,10th Avenue & Post Avenue,40.865109,-73.918447,0.0137,6,438
10.0,East 127th Street & Park Avenue,40.8063,-73.9379572,0.0137,9,657
10.0,Harlem River Drive,40.8140779,-73.9348183,0.0136,5,369
10.0,Cherry Street & Market Street,40.710557,-73.994138,0.0135,6,443
10.0,5th Avenue & East 138th Street,40.81467,-73.936224,0.0135,13,966
10.0,Gouverneur Slip East & Water Street,40.711342,-73.983319,0.0133,1,75
10.0,Broadway & Saint Nicholas Avenue,40.8416657,-73.9392736,0.0131,18,1376
10.0,Adam Clayton Powell Jr. Boulevard & West 129th Street,40.8115415,-73.9465501,0.0129,14,1082
10.0,Malcolm X Boulevard & West 128th Street,40.8097268,-73.9441642,0.0129,16,1239
10.0,Amsterdam Avenue,40.8435645,-73.9342023,0.0129,4,310
10.0,Adam Clayton Powell Jr. Boulevard & West 146th Street,40.8222816,-73.9385175,0.0128,12,939
10.0,Broadway & West 170th Street,40.842436,-73.939255,0.0127,7,550
10.0,5th Avenue & West 129th Street,40.8089533,-73.9404148,0.0126,17,1345
10.0,Ellwood Street & West 196th Street,40.860862,-73.928817,0.0126,2,159
10.0,Broadway & West 164th Street,40.8384061,-73.9416375,0.0125,18,1440
10.0,Amsterdam Avenue & West 153rd Street,40.8302699,-73.9439142,0.0124,6,482
10.0,Audubon Avenue & West 167th Street,40.8398976,-73.9388015,0.0124,2,161
10.0,Audubon Avenue & West 187th Street,40.852476,-73.929603,0.0124,2,161
10.0,Malcolm X Boulevard & West 130th Street,40.8109749,-73.9432528,0.0124,14,1132
10.0,Audubon Avenue,40.8387426,-73.9396505,0.0123,1,81
10.0,West 136th Street,40.8142699,-73.939138,0.0123,1,81
10.0,West 59th Street,40.7727839,-73.9932054,0.0123,5,408
10.0,Broadway & West 152nd Street,40.8308205,-73.9471786,0.0121,12,989
10.0,Riverside Drive & West 156th Street,40.8344441,-73.9476638,0.0121,2,165
10.0,Saint Nicholas Avenue & West 187th Street,40.853062,-73.930996,0.012,9,748
10.0,Pinehurst Avenue & West 183rd Street,40.8523449,-73.9387583,0.012,4,334
10.0,Saint Nicholas Avenue & West 172nd Street,40.843501,-73.937982,0.0119,5,420
10.0,145th Street Bridge & Esplanade Gardens Plaza,40.8204537,-73.9362503,0.0119,51,4295
10.0,Adam Clayton Powell Jr. Boulevard & West 145th Street,40.8216091,-73.9390145,0.0118,36,3046
10.0,Adam Clayton Powell Jr. Boulevard,40.8260058,-73.935896,0.0117,5,426
10.0,Wadsworth Avenue & West 181st Street,40.84984,-73.934966,0.0117,14,1194
10.0,Fairview Avenue & Fort George Hill,40.8571635,-73.9282354,0.0116,7,605
10.0,Audubon Avenue & West 184th Street,40.850509,-73.931043,0.0115,5,435
10.0,3rd Avenue & East 127th Street,40.8050044,-73.9348733,0.0114,4,351
10.0,Riverside Drive & West 162nd Street,40.838559,-73.945856,0.0113,5,441
10.0,Haven Avenue,40.844601,-73.942459,0.011,5,453
10.0,Frederick Douglass Boulevard & West 143rd Street,40.821542,-73.942865,0.011,13,1179
10.0,Academy Street & Sherman Avenue,40.864403,-73.923767,0.011,9,819
10.0,Riverside Drive & West 140th Street,40.824126,-73.95483,0.0109,6,552
10.0,Amsterdam Avenue & West 157th Street,40.8328806,-73.9420072,0.0109,7,645
10.0,Amsterdam Avenue & West 131st Street,40.8163558,-73.9540766,0.0108,9,834
10.0,Saint Nicholas Avenue & West 188th Street,40.853685,-73.930539,0.0107,7,654
10.0,Fort Washington Avenue & West 164th Street,40.839174,-73.943465,0.0105,10,949
10.0,Audubon Avenue & West 180th Street,40.848038,-73.932849,0.0105,21,1999
10.0,Broadway & West 141st Street,40.8238602,-73.9522576,0.0105,10,954
10.0,Nagle Avenue,40.860956,-73.926502,0.0104,13,1252
10.0,Overlook Terrace & West 187th Street,40.8549175,-73.9360462,0.0103,6,584
10.0,Malcolm X Boulevard & West 127th Street,40.8091051,-73.9446164,0.0102,19,1860
10.0,2nd Avenue & East 59th Street,40.7606332,-73.9643309,0.0101,132,13047
10.0,Macombs Place,40.826763,-73.937575,0.0101,2,199
10.0,Adam Clayton Powell Jr. Boulevard & West 133rd Street,40.8139879,-73.9445752,0.01,14,1400
10.0,12th Avenue & West 132nd Street,40.8193827,-73.9593299,0.0099,11,1107
10.0,Riverside Drive & West 150th Street,40.830244,-73.949688,0.0099,8,811
10.0,10th Avenue & West 207th Street,40.864463,-73.918943,0.0099,37,3753
10.0,East 131st Street & Lexington Avenue,40.8087947,-73.9361363,0.0097,9,927
10.0,Saint Nicholas Avenue & West 154th Street,40.83016,-73.941667,0.0096,3,311
10.0,Audubon Avenue & West 182nd Street,40.849309,-73.931917,0.0096,8,834
10.0,Malcolm X Boulevard & West 138th Street,40.815997,-73.9393897,0.0096,22,2301
10.0,Laight Street,40.7217538,-74.0057181,0.0096,5,523
10.0,Arden Street & Sherman Avenue,40.862926,-73.927766,0.0095,13,1362
10.0,Macombs Place & West 150th Street,40.8258956,-73.9393527,0.0095,6,630
10.0,Audubon Avenue & West 181st Street,40.848735,-73.932337,0.0095,17,1790
10.0,12th Avenue & West 135th Street,40.8213403,-73.9579987,0.0095,4,423
10.0,Saint Nicholas Avenue & West 184th Street,40.851095,-73.932433,0.0095,10,1058
10.0,Malcolm X Boulevard,40.8197562,-73.9366544,0.0094,12,1272
10.0,Bennett Avenue & West 186th Street,40.853479,-73.935133,0.0094,4,426
10.0,East 126th Street & Lexington Avenue,40.8050469,-73.9369273,0.0093,18,1926
10.0,East 128th Street & Park Avenue,40.80692,-73.9375047,0.0093,9,965
10.0,Wadsworth Avenue & West 189th Street,40.8548129,-73.9313354,0.0093,4,430
10.0,Dyckman Street & Post Avenue,40.862582,-73.925373,0.0093,20,2155
10.0,Saint Nicholas Avenue & West 182nd Street,40.849895,-73.93331,0.0092,12,1300
10.0,Fort Washington Avenue & West 174th Street,40.846048,-73.940241,0.0092,6,653
10.0,Fairview Avenue & Wadsworth Terrace,40.8573705,-73.9297743,0.0092,2,218
10.0,5th Avenue & West 139th Street,40.815326,-73.935756,0.0091,16,1753
10.0,Broadway & West 175th Street,40.846193,-73.938451,0.0091,7,771
10.0,Wadsworth Avenue & West 187th Street,40.853582,-73.932228,0.0091,6,662
10.0,Saint Nicholas Avenue & West 180th Street,40.848626,-73.934239,0.009,15,1672
10.0,Bennett Avenue & West 187th Street,40.854501,-73.934627,0.0089,5,559
10.0,Wadsworth Avenue & West 185th Street,40.852213,-73.933226,0.0089,8,901
10.0,Broome Street & Clinton Street,40.716899,-73.9862,0.0088,3,339
10.0,Adam Clayton Powell Jr. Boulevard & West 113th Street,40.8012531,-73.9538421,0.0088,8,907
10.0,East 126th Street & Park Avenue,40.8056738,-73.9384143,0.0088,22,2496
10.0,Ellwood Street & Nagle Avenue,40.860242,-73.92842,0.0088,8,908
10.0,Sherman Avenue & West 207th Street,40.865797,-73.919996,0.0088,31,3534
10.0,Nagle Avenue & Sickles Street,40.860657,-73.9273,0.0087,9,1030
10.0,Broadway & Fairview Avenue,40.856716,-73.932631,0.0087,8,920
10.0,Saint Nicholas Avenue,40.8402585,-73.9396778,0.0087,2,230
10.0,Hamilton Place & West 142nd Street,40.8236097,-73.9496898,0.0087,5,576
10.0,Arden Street & Broadway,40.8646634,-73.9289023,0.0085,10,1170
10.0,Saint Nicholas Avenue & West 185th Street,40.851696,-73.931995,0.0085,8,937
10.0,10th Avenue,40.867026,-73.917044,0.0085,5,586
10.0,Saint Nicholas Avenue & West 189th Street,40.85431,-73.930082,0.0085,4,470
10.0,Adam Clayton Powell Jr. Boulevard & West 126th Street,40.8096735,-73.9479141,0.0084,15,1788
10.0,10th Avenue,40.867633,-73.916588,0.0084,5,597
10.0,Frederick Douglass Boulevard & West 149th Street,40.825379,-73.940054,0.0084,9,1075
10.0,Park Row,40.7130664,-74.0008728,0.0083,1,120
10.0,Frederick Douglass Boulevard & West 152nd Street,40.827251,-73.938692,0.0083,4,483
10.0,Broadway & West 156th Street,40.8334062,-73.9452905,0.0083,8,967
10.0,Audubon Avenue & West 188th Street,40.8531,-73.929147,0.0083,1,121
10.0,Queens-Midtown Tunnel,40.7479052,-73.9679787,0.0083,1,121
10.0,Broadway & West 192nd Street,40.857841,-73.932043,0.0082,5,611
10.0,Broadway & West 190th Street,40.856503,-73.932761,0.0082,10,1223
10.0,Frederick Douglass Boulevard & West 153rd Street,40.827877,-73.938237,0.0082,3,367
10.0,Isham Street & Sherman Avenue,40.866315,-73.918596,0.0082,2,245
10.0,Adam Clayton Powell Jr. Boulevard & West 147th Street,40.8229045,-73.9380641,0.0081,9,1105
10.0,Broadway & West 150th Street,40.8295736,-73.9480915,0.0081,13,1614
10.0,Amsterdam Avenue & West 150th Street,40.8283947,-73.9452839,0.008,13,1618
10.0,Jumel Terrace & West 162nd Street,40.835196,-73.938489,0.008,1,125
10.0,East 128th Street & Lexington Avenue,40.806296,-73.936016,0.008,8,1002
10.0,Fort Washington Avenue & West 163rd Street,40.8384634,-73.9437512,0.008,6,753
10.0,Adam Clayton Powell Jr. Boulevard & West 134th Street,40.814609,-73.944122,0.0079,12,1517
10.0,Broadway & West 168th Street,40.8410581,-73.9397145,0.0078,18,2315
10.0,Audubon Avenue & West 175th Street,40.844846,-73.935181,0.0077,8,1035
10.0,Broadway & West 162nd Street,40.837168,-73.9425447,0.0077,11,1432
10.0,Saint Nicholas Avenue & West 166th Street,40.8395698,-73.9398826,0.0077,4,522
10.0,Malcolm X Boulevard & West 143rd Street,40.8191141,-73.9371126,0.0077,15,1960
10.0,Hester Street & Orchard Street,40.7160237,-73.9913112,0.0076,11,1439
10.0,Peck Slip & Water Street,40.7082735,-74.0018952,0.0076,5,655
10.0,Amsterdam Avenue,40.8415827,-73.9356526,0.0076,1,131
10.0,Amsterdam Avenue,40.8220613,-73.9499097,0.0076,11,1449
10.0,East 132nd Street,40.8094179,-73.9356814,0.0076,15,1976
10.0,Amsterdam Avenue & West 175th Street,40.8442431,-73.9337066,0.0075,10,1333
10.0,Broadway Terrace & Fairview Avenue,40.856851,-73.931475,0.0074,2,272
10.0,Malcolm X Boulevard & West 131st Street,40.8116007,-73.9428003,0.0073,15,2063
10.0,Amsterdam Avenue & West 138th Street,40.8208228,-73.9508143,0.0073,8,1102
10.0,2nd Avenue & East 117th Street,40.7976795,-73.9372797,0.0073,15,2067
10.0,Bogardus Place & Ellwood Street,40.859545,-73.927977,0.0072,3,415
10.0,5th Avenue & East 135th Street,40.812748,-73.937635,0.0072,33,4576
10.0,Broome Street & Suffolk Street,40.717157,-73.98704,0.0072,2,278
10.0,Adam Clayton Powell Jr. Boulevard & West 123rd Street,40.8076384,-73.9492072,0.0072,20,2785
10.0,Saint Nicholas Avenue & West 186th Street,40.85238,-73.931495,0.0072,6,839
