Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
10.0,N/A,40.7890262,-73.9823373,8536.59,35,41
10.0,N/A,40.7943982,-73.9783745,8500.0,17,20
10.0,10th Avenue & West 205th Street,40.8631643,-73.9198437,8125.0,13,16
10.0,Queens-Midtown Tunnel,40.7479052,-73.9679787,7520.66,91,121
10.0,Saint Clair Place,40.8179951,-73.9617273,7419.35,92,124
10.0,N/A,40.8302783,-73.9349952,7241.38,63,87
10.0,N/A,40.7116882,-74.0027433,6764.71,23,34
10.0,Harlem River Drive,40.8417644,-73.9316916,6034.48,70,116
10.0,West 125th Street,40.8187696,-73.9610912,5490.2,28,51
10.0,N/A,40.849732,-73.9421511,5000.0,1,2
10.0,Park Row,40.7126196,-74.0024737,5000.0,1,2
10.0,N/A,40.8057284,-73.9323318,4876.54,79,162
10.0,Amsterdam Avenue & West 177th Street,40.845538,-73.9327605,4444.44,40,90
10.0,Audubon Avenue & West 193rd Street,40.85623,-73.926863,4285.71,30,70
10.0,East 57th Street,40.757197,-73.960279,4018.69,43,107
10.0,East 56th Street,40.756496,-73.960724,4011.3,71,177
10.0,East 128th Street,40.8056302,-73.9343783,3906.98,84,215
10.0,East 119th Street,40.7961626,-73.9297581,3906.25,25,64
10.0,West 135th Street,40.821769,-73.9586641,3800.0,19,50
10.0,Staff Street,40.8668641,-73.9309781,3793.1,11,29
10.0,Academy Street & Nagle Avenue,40.8624268,-73.9225094,3688.52,45,122
10.0,West 204th Street,40.861457,-73.9177129,3684.21,14,38
10.0,Delancey Street,40.7178211,-73.9857349,3671.1,221,602
10.0,Macombs Place & West 154th Street,40.8276596,-73.9357729,3506.49,27,77
10.0,Nagle Avenue,40.8614439,-73.9250224,3484.85,23,66
10.0,Amsterdam Avenue,40.8474237,-73.9313827,3433.73,57,166
10.0,N/A,40.858935,-73.9229661,3405.17,79,232
10.0,Henry Hudson Parkway,40.7884865,-73.982754,3333.33,3,9
10.0,N/A,40.7302966,-73.9724928,3333.33,5,15
10.0,N/A,40.8363293,-73.9349789,3317.97,72,217
10.0,Saint Nicholas Avenue & West 192nd Street,40.856182,-73.928716,3275.86,38,116
10.0,Jumel Place,40.839484,-73.93604,3235.29,11,34
10.0,9th Avenue & West 206th Street,40.86302,-73.917555,3179.49,62,195
10.0,Marginal Street & Saint Clair Place,40.8185083,-73.9612589,3169.01,45,142
10.0,Third Avenue Bridge,40.8071983,-73.9332794,3150.18,86,273
10.0,Harlem River Drive,40.838854,-73.9333342,3148.15,68,216
10.0,10th Avenue & Nagle Avenue,40.8637912,-73.9194094,2960.0,37,125
10.0,Harlem River Drive,40.8498545,-73.9266962,2954.55,91,308
10.0,10th Avenue & Nagle Avenue,40.8638085,-73.9194646,2857.14,2,7
10.0,Amsterdam Avenue & Washington Bridge,40.8481397,-73.9308625,2774.92,270,973
10.0,Wadsworth Avenue & West 192nd Street,40.8566083,-73.9297266,2682.93,11,41
10.0,N/A,40.8357709,-73.9349446,2638.89,19,72
10.0,Third Avenue Bridge,40.8067889,-73.9343063,2618.18,72,275
10.0,Amsterdam Avenue & Fort George Avenue,40.8537128,-73.9267875,2543.1,59,232
10.0,East 13th Street,40.7262553,-73.9726487,2500.0,17,68
10.0,Saint Nicholas Avenue & West 191st Street,40.8555496,-73.929178,2446.04,34,139
10.0,Amsterdam Avenue & West 171st Street,40.8417005,-73.9355668,2323.23,23,99
10.0,10th Avenue & West 216th Street,40.870225,-73.914694,2278.48,18,79
10.0,Macombs Place & West 153rd Street,40.8272128,-73.9366579,2222.22,28,126
10.0,Amsterdam Avenue,40.8449056,-73.9332225,2213.74,29,131
10.0,Riverside Drive,40.839232,-73.945543,2165.9,47,217
10.0,Audubon Avenue & Saint Nicholas Avenue,40.8385135,-73.9398455,2159.09,19,88
10.0,Amsterdam Avenue,40.8423037,-73.9351235,2153.85,28,130
10.0,East 81st Street,40.7715433,-73.9467415,2142.86,78,364
10.0,Broadway & West 220th Street,40.8723563,-73.9128142,2069.89,77,372
10.0,9th Avenue & West 205th Street,40.862394,-73.918015,1989.53,38,191
10.0,Riverside Drive & West 155th Street,40.8340866,-73.9483688,1975.81,49,248
10.0,1st Avenue & East 126th Street,40.8025238,-73.9308881,1951.22,16,82
10.0,West 207th Street,40.8631878,-73.9158633,1903.13,668,3510
10.0,Harlem River Drive,40.8039855,-73.9309325,1801.57,69,383
10.0,Park Avenue,40.8116933,-73.9348845,1763.49,85,482
10.0,Canal Street,40.7158824,-73.9950294,1736.61,120,691
10.0,Broadway & West 216th Street,40.8704145,-73.9151316,1709.4,20,117
10.0,Harlem River Drive,40.8167152,-73.9341978,1640.21,31,189
10.0,Saint Nicholas Avenue & West 161st Street,40.8350754,-73.9397872,1612.9,5,31
10.0,Audubon Avenue,40.855598,-73.927319,1590.91,7,44
10.0,Henry Hudson Parkway,40.7877568,-73.9828491,1555.56,7,45
10.0,Vermilyea Avenue & West 211th Street,40.867584,-73.918414,1525.42,9,59
10.0,Bradhurst Avenue & Frederick Douglass Boulevard,40.8291536,-73.9372824,1510.61,121,801
10.0,Park Row,40.7130664,-74.0008728,1500.0,18,120
10.0,Bradhurst Avenue,40.822628,-73.943506,1495.33,16,107
10.0,West 180th Street,40.8503746,-73.940603,1487.6,18,121
10.0,Adam Clayton Powell Jr. Boulevard & West 150th Street,40.8248549,-73.9368589,1465.2,40,273
10.0,Henry Hudson Parkway,40.785842,-73.9837108,1428.57,2,14
10.0,Audubon Avenue & West 188th Street,40.8531,-73.929147,1404.96,17,121
