PARSED_DATE,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2012-07-01,39,135,119,101,26
2012-07-02,71,140,113,94,25
2012-07-03,73,167,150,136,22
2012-07-04,51,94,65,93,22
2012-07-05,60,153,107,123,24
2012-07-06,59,131,147,131,34
2012-07-07,49,111,98,93,27
2012-07-08,50,112,70,80,22
2012-07-09,58,117,104,113,16
2012-07-10,42,128,123,93,24
2012-07-11,51,140,110,102,24
2012-07-12,53,147,131,88,26
2012-07-13,59,143,128,103,24
2012-07-14,53,123,110,91,30
2012-07-15,46,114,108,82,25
2012-07-16,51,138,100,97,21
2012-07-17,53,145,137,124,25
2012-07-18,63,114,127,106,28
2012-07-19,36,104,118,106,24
2012-07-20,48,122,142,132,28
2012-07-21,54,95,120,105,13
2012-07-22,50,131,98,88,20
2012-07-23,47,130,109,95,13
2012-07-24,58,124,139,98,28
2012-07-25,70,136,131,110,24
2012-07-26,51,128,159,123,32
2012-07-27,52,140,145,123,35
2012-07-28,53,110,116,105,29
2012-07-29,42,62,84,83,26
2012-07-30,48,131,124,97,19
2012-07-31,51,119,121,89,32
2012-08-01,65,113,126,132,32
2012-08-02,50,132,123,95,29
2012-08-03,72,126,129,106,26
2012-08-04,63,112,125,102,20
2012-08-05,51,117,102,100,20
2012-08-06,56,160,113,111,25
2012-08-07,53,131,126,99,31
2012-08-08,51,141,117,103,20
2012-08-09,53,136,123,105,38
2012-08-10,77,117,139,125,37
2012-08-11,57,121,108,86,18
2012-08-12,44,105,109,112,17
2012-08-13,57,128,85,86,29
2012-08-14,33,119,129,94,30
2012-08-15,42,137,127,118,35
2012-08-16,50,147,136,102,31
2012-08-17,57,130,128,93,26
2012-08-18,60,120,116,96,23
2012-08-19,50,106,95,86,23
2012-08-20,40,131,89,94,17
2012-08-21,44,115,101,90,25
2012-08-22,45,109,105,103,30
2012-08-23,51,124,142,81,46
2012-08-24,69,122,135,94,24
2012-08-25,53,108,90,95,20
2012-08-26,46,109,93,74,17
2012-08-27,42,135,88,114,36
2012-08-28,69,151,102,96,28
2012-08-29,49,115,112,121,18
2012-08-30,53,143,123,104,39
2012-08-31,63,155,158,132,39
2012-09-01,51,137,93,92,21
