YEAR,MONTH,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2012,7,1641,3884,3653,3204,768
2012,8,1665,3915,3594,3149,849
2012,9,1548,3786,3506,3150,808
2012,10,1604,3881,3497,3174,831
2012,11,1444,3752,3064,3186,798
2012,12,1607,4080,3402,3272,848
2013,1,1486,3656,3017,3047,773
2013,2,1541,3399,2856,2733,717
2013,3,1746,3686,3285,3285,807
2013,4,1602,3871,3358,3115,765
2013,5,1808,4284,3841,3497,904
2013,6,1748,4318,3739,3344,894
2013,7,1749,3984,3597,3435,513
2013,8,1605,3900,3541,3078,529
2013,9,1666,3806,3565,3270,551
2013,10,1580,4022,3703,3502,609
2013,11,1610,4056,3622,3532,607
2013,12,1625,4025,3453,3465,626
2014,1,1635,3908,3140,3400,627
2014,2,1686,3590,2914,3338,612
2014,3,1561,3719,3134,3177,531
2014,4,1528,3767,3415,3202,501
2014,5,1686,4204,3816,3475,527
2014,6,1747,4247,3716,3626,629
2014,7,1662,4069,3500,3428,526
2014,8,1610,3905,3484,3357,505
2014,9,1712,4163,3553,3513,555
2014,10,1639,4222,3651,3655,606
2014,11,1583,3926,3429,3433,514
2014,12,1630,4021,3495,3397,479
2015,1,1704,3863,2875,3417,552
2015,2,1435,3498,2670,2876,440
2015,3,1823,4362,3396,3631,513
2015,4,1623,3869,3521,3127,456
2015,5,1837,4518,3879,3641,630
2015,6,1831,4322,3728,3680,512
2015,7,1821,4288,3842,3682,522
2015,8,1878,4452,3707,3664,508
2015,9,1751,4385,3639,3707,514
2015,10,1866,4635,4023,3911,561
2015,11,1788,4236,3545,3504,556
2015,12,1883,4391,3672,3628,575
2016,1,1878,4434,3180,3854,614
2016,2,1641,3756,3191,3044,522
2016,3,1833,4399,3477,3700,561
2016,4,1962,4432,3540,3579,521
2016,5,2005,4381,3426,3741,610
2016,6,1743,3807,2949,3380,582
2016,7,1933,3896,3046,3495,568
2016,8,1785,3715,2836,3342,516
2016,9,1773,3696,2742,3320,533
2016,10,1718,3711,2831,3383,581
2016,11,1641,3736,2838,3255,534
2016,12,1741,3662,2632,3347,575
2017,1,1651,3419,2273,2951,521
